Write Buffer Size,ops_per_sec,micros_per_op
700448768,5714,110.0
701497344,6060,102.0
702545920,5319,115.0
703594496,6993,87.0
704643072,7352,76.0
705691648,6410,98.0
706740224,5882,99.0
707788800,5128,121.0
708837376,7633,73.0
709885952,7936,77.0
710934528,8333,74.0
711983104,7194,78.0
713031680,8849,68.0
714080256,6711,68.0
715128832,2717,284.0
716177408,10000,58.0
717225984,7352,57.0
718274560,10416,57.0
719323136,8000,78.0
720371712,9433,69.0
721420288,9615,63.0
722468864,7518,58.0
723517440,7874,49.0
724566016,11111,56.0
725614592,8620,73.0
726663168,7142,60.0
727711744,10526,55.0
728760320,11627,50.0
729808896,8333,74.0
730857472,10989,54.0
731906048,7936,52.0
732954624,7246,59.0
734003200,7407,53.0
735051776,5747,94.0
736100352,7246,51.0
737148928,7692,56.0
738197504,10204,56.0
739246080,8333,74.0
740294656,7692,58.0
741343232,8547,63.0
742391808,8849,63.0
743440384,5154,125.0
744488960,7246,84.0
745537536,9090,64.0
746586112,9523,63.0
747634688,6896,61.0
748683264,9433,65.0
749731840,7092,63.0
750780416,8771,70.0
751828992,10101,58.0
752877568,6849,62.0
753926144,7633,87.0
754974720,10204,59.0
756023296,11111,52.0
757071872,10752,59.0
758120448,9803,64.0
759169024,11111,55.0
760217600,8403,70.0
761266176,10309,59.0
762314752,8849,65.0
763363328,9803,63.0
764411904,7812,55.0
765460480,7936,51.0
766509056,10526,55.0
767557632,11494,52.0
768606208,11764,51.0
769654784,8130,49.0
770703360,8403,50.0
771751936,8620,48.0
772800512,7518,56.0
773849088,12195,46.0
774897664,12345,49.0
775946240,8547,48.0
776994816,12987,46.0
778043392,11904,49.0
779091968,11111,58.0
780140544,11904,52.0
781189120,10101,68.0
782237696,11235,49.0
783286272,6097,80.0
784334848,8130,83.0
785383424,8849,70.0
786432000,8695,68.0
787480576,9433,63.0
788529152,9345,65.0
789577728,9433,66.0
790626304,9174,68.0
791674880,8928,67.0
792723456,7936,84.0
793772032,8130,70.0
794820608,9708,65.0
795869184,7142,93.0
796917760,10101,60.0
797966336,10869,57.0
799014912,11627,51.0
800063488,7462,53.0
801112064,11235,55.0
802160640,8403,52.0
803209216,11494,54.0
804257792,13333,44.0
805306368,8333,49.0
806354944,12820,46.0
807403520,12345,50.0
808452096,13333,45.0
809500672,12658,49.0
810549248,11904,49.0
811597824,13698,43.0
812646400,12658,48.0
813694976,8849,44.0
814743552,13698,44.0
815792128,8000,84.0
816840704,10752,58.0
817889280,10989,58.0
818937856,11627,52.0
819986432,7407,57.0
821035008,10309,58.0
822083584,10416,52.0
823132160,7812,55.0
824180736,12658,44.0
825229312,12820,45.0
826277888,12345,47.0
827326464,12500,47.0
828375040,8771,50.0
829423616,12048,50.0
830472192,12500,46.0
831520768,11904,50.0
832569344,8849,48.0
833617920,9174,46.0
834666496,8849,44.0
835715072,6535,50.0
836763648,8333,52.0
837812224,13333,45.0
838860800,8474,48.0
839909376,12658,49.0
840957952,12195,50.0
842006528,11111,56.0
843055104,12987,43.0
844103680,13333,45.0
845152256,8403,51.0
846200832,12500,50.0
847249408,8849,45.0
848297984,12820,45.0
849346560,14084,42.0
850395136,13333,45.0
851443712,13333,46.0
852492288,13513,44.0
853540864,8849,43.0
854589440,13157,46.0
855638016,13157,44.0
856686592,13888,44.0
857735168,8928,43.0
858783744,11904,52.0
859832320,12658,50.0
860880896,8695,48.0
861929472,11764,53.0
862978048,12500,47.0
864026624,12195,52.0
865075200,9708,57.0
866123776,13698,44.0
867172352,9009,43.0
868220928,8695,45.0
869269504,12345,49.0
870318080,12345,50.0
871366656,12195,51.0
872415232,8849,46.0
873463808,8695,44.0
874512384,12658,49.0
875560960,13157,46.0
876609536,8928,78.0
877658112,11235,54.0
878706688,8196,49.0
879755264,11111,56.0
880803840,11494,52.0
881852416,8474,50.0
882900992,12195,50.0
883949568,12345,48.0
884998144,12658,48.0
886046720,12820,47.0
887095296,11764,50.0
888143872,12500,46.0
889192448,13513,44.0
890241024,12987,45.0
891289600,12345,48.0
892338176,13157,45.0
893386752,6211,90.0
894435328,13513,45.0
895483904,12048,52.0
896532480,13698,43.0
897581056,12658,49.0
898629632,13157,46.0
899678208,12195,47.0
900726784,11363,46.0
901775360,7042,65.0
902823936,6993,78.0
903872512,11764,52.0
904921088,11764,51.0
905969664,9900,63.0
907018240,9708,63.0
908066816,8130,87.0
909115392,9259,76.0
910163968,12048,50.0
911212544,8928,80.0
912261120,12195,46.0
913309696,12500,49.0
914358272,12500,48.0
915406848,9174,78.0
916455424,12345,51.0
917504000,9009,81.0
918552576,13157,45.0
919601152,8264,51.0
920649728,8620,72.0
921698304,5780,93.0
922746880,8130,51.0
