Write Buffer Size,ops_per_sec,micros_per_op
941621248,2212203,0.452
942669824,2018827,0.495
943718400,2481746,0.403
944766976,2419590,0.413
945815552,2409301,0.415
946864128,2203031,0.454
947912704,2202842,0.454
948961280,2226680,0.449
950009856,2197058,0.455
951058432,2295309,0.436
952107008,2419315,0.413
953155584,2354431,0.425
954204160,2275297,0.439
955252736,2448202,0.408
956301312,2174456,0.46
957349888,2100469,0.476
958398464,2204502,0.454
959447040,2354819,0.425
960495616,2148246,0.465
961544192,2059969,0.485
962592768,2265831,0.441
963641344,2053105,0.487
964689920,2092851,0.478
965738496,2442754,0.409
966787072,2126107,0.47
967835648,2189539,0.457
968884224,2287900,0.437
969932800,2416054,0.414
970981376,2115837,0.473
972029952,2376070,0.421
973078528,2078379,0.481
974127104,2452212,0.408
975175680,2198633,0.455
976224256,2239516,0.446
977272832,2290761,0.436
978321408,2154234,0.464
979369984,2104997,0.475
980418560,1943332,0.514
981467136,2040483,0.49
982515712,1918962,0.521
983564288,2185548,0.457
984612864,2367614,0.422
985661440,2180687,0.458
986710016,1800889,0.555
987758592,2365536,0.423
988807168,2374834,0.421
989855744,2318663,0.431
990904320,2209724,0.452
991952896,2233274,0.448
993001472,2441453,0.41
994050048,2161377,0.463
995098624,2360177,0.424
996147200,2287319,0.437
997195776,2066427,0.484
998244352,2217437,0.451
999292928,2147540,0.466
1000341504,2307182,0.433
1001390080,2214358,0.452
1002438656,2454674,0.407
1003487232,1529601,0.654
1004535808,2035412,0.491
1005584384,2039900,0.49
1006632960,2362736,0.423
1007681536,2221965,0.45
1008730112,2412143,0.414
1009778688,2172557,0.46
1010827264,2382444,0.42
1011875840,2115623,0.473
1012924416,2272086,0.44
1013972992,2402315,0.416
1015021568,2183873,0.458
1016070144,2202400,0.454
1017118720,2002010,0.499
1018167296,2168228,0.461
1019215872,2275245,0.439
1020264448,2227851,0.449
1021313024,2309767,0.433
1022361600,2424871,0.412
1023410176,2547524,0.392
1024458752,2169173,0.461
1025507328,2045403,0.489
1026555904,2200147,0.454
1027604480,2270116,0.44
1028653056,2474016,0.404
1029701632,2082669,0.48
1030750208,2221402,0.45
1031798784,2409110,0.415
1032847360,2359792,0.424
1033895936,2221476,0.45
