max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op
3,4,459499640,5,5,12,12061,7,13,26,1,71729115,42214,23.688
4,2,57631670,6,2,11,116429,5,16,24,2,42540932,36437,27.444
5,1,943162227,3,2,7,43855,16,14,27,4,94624413,28189,35.473
3,1,502154170,8,4,8,80463,13,16,18,7,36552504,22300,44.843
6,4,476477878,5,5,11,91398,4,22,16,6,111258336,49945,20.021
2,2,484616934,5,2,3,79262,10,19,28,3,86925634,26093,38.322
3,5,764626375,8,3,9,54219,3,25,20,1,35673128,19161,52.186
3,5,691424764,6,2,2,28395,12,22,25,3,87711672,37090,26.961
7,7,964745316,4,1,16,100585,7,7,26,7,78189698,19513,51.246
5,7,664538275,4,5,3,37791,10,12,14,4,65151199,26985,37.057
1,2,905903252,4,3,14,61300,2,5,3,5,125501701,36298,27.549
2,8,600442169,5,5,9,87727,9,25,30,7,102761007,18927,52.833
4,8,858555505,4,4,11,86712,11,28,17,6,62033075,18697,53.483
5,6,661731277,8,4,6,31809,6,9,27,8,77210706,25624,39.025
3,4,493938802,6,1,3,82965,5,2,16,5,83856693,23858,41.913
8,8,647435597,4,3,14,34893,12,30,28,7,115740380,18697,53.483
6,4,980006097,8,2,5,65476,5,8,2,2,126554068,21450,46.619
3,1,983452922,8,2,12,104692,9,22,32,6,57648833,18857,53.027
7,7,620992048,4,1,7,9959,12,14,4,8,106856671,17385,57.519
4,6,928392997,5,1,2,45654,8,27,20,1,72130700,31374,31.873
3,2,58128451,7,1,13,44741,16,14,14,5,84311279,33012,30.291
1,1,641297220,7,5,5,85665,10,28,19,2,123328713,34450,29.026
2,1,1071621077,4,3,15,75763,12,24,32,2,127601955,19657,50.871
4,1,670017341,3,1,10,34905,4,14,9,8,44829559,20873,47.907
4,4,493628383,3,5,7,114298,9,6,26,5,67300121,25617,39.035
6,1,110570619,3,2,12,90586,10,21,23,8,108784306,21791,45.889
8,5,1005903459,2,4,15,122570,15,5,21,2,44607835,22990,43.496
1,5,775482643,4,3,7,114104,9,31,10,4,107075797,29377,34.039
