max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op
5,6,640766838,5,4,2,122849,4,15,19,3,33998165,1460604,0.685
5,3,764028477,4,4,13,48069,10,14,10,3,62157022,1630159,0.613
4,5,301858798,3,2,7,81459,9,29,12,3,131246674,1361235,0.735
4,6,836312426,8,1,14,54334,9,4,18,5,88716249,1628932,0.614
2,8,409586909,3,1,9,11746,5,30,6,3,103112647,1866124,0.536
1,2,334714861,6,3,11,29609,4,2,18,1,64310097,1448813,0.69
7,3,799905464,5,1,6,62245,11,23,10,5,118156399,1654903,0.604
6,8,285208528,6,5,2,5256,5,12,2,8,119011668,1624244,0.616
7,7,961862039,5,5,14,120275,11,25,29,7,70206943,1559155,0.641
5,1,810644798,7,3,7,86629,7,12,10,4,72255955,1856041,0.539
2,1,232233037,3,1,10,50468,7,7,22,2,56623466,1540179,0.649
5,8,424869290,5,2,8,90191,6,4,22,1,54303014,1577005,0.634
1,8,370472304,7,4,14,105856,12,7,20,2,58759387,1740398,0.575
7,6,779942493,2,5,14,33164,10,28,16,8,114184454,1603640,0.623
3,1,1004672056,5,3,12,128145,2,8,11,1,42720519,1533013,0.652
5,5,700701162,6,3,9,123343,7,25,6,3,65547785,1959620,0.51
2,7,1040650293,4,4,11,104963,3,14,23,8,83881387,2053160,0.487
8,7,672174263,4,2,14,59974,15,9,10,2,46710563,1529964,0.654
1,5,106137485,5,2,6,92554,10,28,22,7,77150340,2011562,0.497
2,6,462153318,2,2,6,124031,6,12,10,7,94830356,1281489,0.78
8,7,953949861,3,5,5,75808,9,21,3,3,48988092,2018310,0.495
8,4,912017365,2,4,5,22230,11,11,20,5,46926170,1536185,0.651
6,5,427882755,8,5,13,41139,6,27,25,1,94926623,1621100,0.617
6,6,309161945,7,3,10,100753,2,14,20,7,61682063,1868163,0.535
4,5,841179843,2,1,14,61336,5,5,17,4,91198321,1561931,0.64
4,2,76812212,4,4,11,63343,16,13,24,2,118726191,1691726,0.591
1,2,173857228,6,4,14,8009,2,2,26,5,50168242,1441090,0.694
5,3,579482779,3,3,11,111687,7,29,14,7,96338749,1439453,0.695
4,5,146886893,7,3,12,17302,4,24,2,6,118521517,1939205,0.516
4,3,807347768,5,5,10,13891,2,21,16,6,110376514,1446809,0.691
8,7,679955186,2,2,5,52641,15,26,32,2,66257855,1659585,0.602
2,6,819019837,8,4,6,35025,6,31,21,4,105257764,1549143,0.645
3,7,789098539,2,3,13,97878,13,11,19,7,69882391,1932053,0.517
5,5,881993809,4,3,3,73016,12,10,3,6,68918647,1578220,0.634
1,5,568494441,7,4,4,10613,14,21,14,2,52479162,1598281,0.626
3,5,142789562,4,2,3,9915,8,16,14,8,47907869,1949644,0.513
8,1,894017330,4,2,3,57301,10,26,12,3,80408473,2187044,0.457
5,7,126401522,6,2,3,29306,16,19,5,3,69021739,1719912,0.581
2,8,767272793,6,1,3,93784,10,2,13,7,59493778,1749545,0.571
3,4,956735218,8,3,4,40613,3,18,17,1,38801503,1779996,0.562
5,2,734952934,8,3,4,111284,3,31,5,4,85487060,2040649,0.49
2,1,628638552,3,2,7,118583,12,5,6,2,74311351,1997834,0.5
3,1,454998617,8,3,9,4577,3,12,12,5,87753559,2164727,0.462
5,6,108229485,7,5,2,87158,2,5,8,8,97387651,2163420,0.462
1,6,469125638,3,5,5,28294,10,32,4,3,95017259,2068594,0.483
7,4,114178202,7,1,9,77625,14,9,13,2,38324550,1910595,0.523
5,4,364334345,2,3,14,11274,10,20,32,4,60117223,1741620,0.574
6,1,1032767638,7,3,9,97755,7,13,14,5,62942717,1795941,0.557
2,7,694808174,8,3,2,22545,14,21,24,8,69066084,1649302,0.606
4,5,1028633774,4,3,7,7707,7,22,21,3,106189625,1754906,0.57
3,8,873820341,5,2,4,49318,2,27,23,2,85487060,1264705,0.791
7,3,1000329292,3,2,5,78926,6,15,21,6,127490374,1359765,0.735
7,8,572337115,8,3,8,76427,5,3,9,8,40862080,1033513,0.967
2,6,441084658,6,2,3,14907,15,13,3,5,45296142,1016088,0.984
7,6,765793603,3,1,9,43207,14,11,27,8,115948077,1382733,0.723
5,8,194660888,4,2,8,63589,7,9,17,1,101952402,709223,1.41
4,8,78587484,4,2,16,110198,2,9,24,6,43791746,555397,1.8
6,5,457641838,6,4,14,117207,4,28,12,8,46606849,1147007,0.872
5,7,823176403,2,4,13,70289,10,13,26,2,41171873,1656976,0.603
1,1,581472167,4,5,11,87512,7,3,26,2,95598838,1599526,0.625
1,3,241841490,5,2,11,130375,13,21,32,1,121969396,2171939,0.46
7,1,881837068,3,2,15,82203,4,27,27,7,105778532,1810521,0.552
5,1,161268658,4,3,9,39566,12,21,30,7,96227033,2006726,0.498
8,3,860183576,2,4,6,38161,3,21,10,6,110185053,2023369,0.494
2,7,1058158101,2,3,8,12185,2,10,12,8,80994168,2218701,0.451
3,6,271563030,3,2,6,88638,5,13,23,4,51487291,2722607,0.367
5,7,592932444,5,4,11,107313,6,13,11,8,94603695,2377917,0.42
8,8,382162984,2,5,10,84811,6,24,2,7,33930302,996013,1.004
2,7,825254212,4,2,6,101400,10,7,10,2,106763085,2192761,0.456
6,3,278857139,6,2,7,37640,12,26,17,8,67591399,1323213,0.756
1,5,861897421,2,5,15,88642,6,24,22,2,71232771,1767908,0.566
7,2,407767678,3,5,13,9148,10,9,19,6,83355546,2289581,0.437
7,2,181037708,5,2,5,35903,4,21,10,1,83778558,2465768,0.405
4,8,400738410,6,4,10,108004,14,21,4,6,109718804,2542342,0.393
4,3,777415067,4,4,11,126274,3,22,30,6,120067333,1302546,0.768
2,6,83344062,7,1,8,111071,4,23,20,8,129773954,2581171,0.387
2,2,848795060,8,5,16,41954,10,30,11,2,57694628,1946248,0.514
1,6,222151834,7,3,9,85116,9,29,26,2,78698010,1530971,0.653
2,7,510581115,7,4,15,95089,12,22,19,7,98147381,2183391,0.458
6,4,846662348,3,1,10,19445,16,13,27,3,59469222,2564556,0.39
1,6,681123250,2,2,6,113842,16,12,16,8,71705863,2584326,0.387
2,2,781190111,7,2,3,94065,2,9,4,4,47878510,2334000,0.428
3,2,87312436,4,3,12,58266,11,22,19,5,130639432,2347550,0.426
1,7,906170675,4,4,3,65894,14,14,7,7,95532850,2662194,0.376
4,1,1050507209,5,4,13,56464,12,23,17,3,58744479,2566880,0.389
8,2,281786555,8,4,10,80530,13,5,26,3,100858739,2751796,0.363
6,1,244510211,7,4,14,68611,9,30,11,3,123506751,2766381,0.361
7,2,891487995,5,5,14,22649,4,12,19,1,90594237,2531587,0.395
7,5,328130748,8,4,11,119884,9,13,3,1,80597149,2437068,0.41
3,8,775399543,3,4,9,85085,5,24,25,8,62589464,2812251,0.356
4,2,575593412,5,2,4,11356,13,6,17,1,82307628,2475474,0.404
1,2,238613283,5,2,15,96586,2,25,4,6,74290622,2217850,0.451
8,6,330978753,4,5,16,27033,4,12,7,7,86770871,2400147,0.417
5,3,382573317,3,3,4,25951,10,5,26,4,102243674,2749821,0.364
6,4,638445556,8,4,5,69223,15,24,7,4,35133777,2024471,0.494
3,7,615910701,4,2,8,38452,16,14,24,1,91870173,2438798,0.41
6,8,736165964,4,1,2,115507,3,12,32,7,126888750,2407799,0.415
4,6,88042016,4,3,8,67010,4,27,32,4,41683530,2377533,0.421
5,6,1024921888,2,1,6,98635,9,20,9,2,88819700,2531632,0.395
2,8,1053225955,3,2,10,80019,9,7,22,7,92487537,2397443,0.417
4,3,87548523,6,2,13,101964,6,31,21,7,71380419,2047011,0.488
3,3,389181707,8,5,15,104253,13,19,32,3,91738334,1315576,0.76
5,1,133845072,8,1,14,60637,2,8,20,4,44989354,2114214,0.473
